name car,name part,description,articlePart
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MAS0523,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 1135 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: передний мост;
",MAS0523
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MAS0586,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 705 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: Задний мост;
",MAS0586
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MAS0587,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 1080 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: передний мост;
",MAS0587
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX0753,"MEYLE-ORIGINAL: True to OE.;
Код двигателя: 312 A1.000;
Тип датчика: NTC - Датчик;
Размер резьбы: M12x1,5;
Ширина ключа: 19;
Дополнительный артикул / дополнительная информация 2: с уплотнительным кольцом;
Количество втычных контактов: 2 полюс;
",MEX0753
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MPS0114,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Индуктивный датчик;
Количество втычных контактов: 2 полюс;
",MPS0114
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX0660,"MEYLE-ORIGINAL: True to OE.;
Г. вып. до: 09.11;
Автомобиль с лево- / правосторонним расположением руля: для левостороннего расположения руля;
Автомобиль с лево- / правосторонним расположением руля: для правостороннего расположения руля;
Г. вып. от: 09.11;
Автомобиль с лево- / правосторонним расположением руля: для правостороннего расположения руля;
Вид эксплуатации: включение ножное;
Обратить внимание на заданные величины производителя трансп.;
Количество втычных контактов: 4 полюс;
",MEX0660
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX1367,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Датчик Холла;
Дополнительный артикул / дополнительная информация 2: с уплотнительным кольцом;
Количество втычных контактов: 3 полюс;
",MEX1367
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX0990,"MEYLE-ORIGINAL: True to OE.;
Код двигателя: 312 A1.000;
Количество втычных контактов: 3 полюс;
",MEX0990
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX1344,"MEYLE-ORIGINAL: True to OE.;
Г. вып. от: 02.15;
Сторона установки: сзади;
Сторона установки: внешний;
Сторона установки: внутри;
хим. Свойство: обладающий способностью еще раз покрывать лаком;
Цвет: чёрный;
Количество втычных контактов: 3 полюс;
Форма: согнутый;
Тип датчика: Ультразвуковой датчик;
",MEX1344
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX1067,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Пьезоэлектрический датчик;
Количество втычных контактов: 2 полюс;
",MEX1067
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXD1A)",MEX1293,"MEYLE-ORIGINAL: True to OE.;
Размер резьбы: M10x1.25;
Количество втычных контактов: 3 полюс;
Форма штепсельного корпуса: круглый;
",MEX1293
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXF1A, 312.AXD1A)",MAS0523,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 1135 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: передний мост;
",MAS0523
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXF1A, 312.AXD1A)",MAS0586,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 705 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: Задний мост;
",MAS0586
"Abarth 500 / 595 / 695, 01.2008- 1.4 (312.AXF1A, 312.AXD1A)",MAS0587,"MEYLE-ORIGINAL: True to OE.;
Тип датчика: Активный датчик;
Длина кабеля: 1080 мм;
Количество втычных контактов: 2 полюс;
Сторона установки: передний мост;
",MAS0587
